,Title,Review,Rating
53,Best Phone till date,"Hi Guys !There are already thousands of positive reviews about the phone, but I still want to share my experience. I purchased it couple of days back on ‘Summer Sale’. I was previously using OnePlus 3T for last 3years.Pros of this Phone1. Value for money2. Camera quality3. Display size and quality4. Battery life5. Speed6. Aesthetics7. Loudspeaker quality8. Latest OsCons1. Fingerprint sensor could be better responsive2. Missing notification ledOverall a very good deal.",5
54,Require bill,Phone is awsm bt i dint get bill with my order plzz send bill to us....,4
55,Best smartphone.,Best smartphone in the world i love it....,5
56,IT'S A CHINESE PHONE,"Dear All always remember that the ONE  PLUS  is a CHINESE  PHONE maker company.... rest you all are capable to understand, try not to promote Chinese product.....",1
57,Amazing Product..,Fully satisfied with the product.Really OnePlus 6T amazing mobile. Everything is good but only drawback is fingerlock sensor is not up to mark.,5
58,Premium look,Awesome mobile,5
59,Superb,Superb,5
60,Couldn't ask for more!,"Like the sleek look, smooth and easy to use functions and ofcourse awesome clarity of the screen.",5
61,Mesmerizing......,Awesome mobile.... awesome camera.... awesome battery life.....,4
62,One plus 6t rocks!,Awesome phone,5
63,Value for money,Value for money,5
64,Perfect Premium Smart phone,Best phone...,5
65,Speed,Awesome speed like Superman,5
66,Super,Super,5
67,OnePlus6T- Purchase on 04/05/2019,"""The Beast"" overall and a I-Phone of Android version. It's fully loaded with features, Camera is WOW, Battery backup is good with 3700 mAh battery. Overall all if you have the capability to spend ~35K then go for this and I bet you won't regret it.",5
68,After using 3 months,"Pros - ram, space, camera, comfort, sound quality, supportive softwares, speed, touch, display quality, battery.Cons - inbuilt fingerprint sensor doesn't open in fraction of seconds",5
69,Good pho e,Good phone,5
70,Its performance is excellent,just want to say worth it.display:so good.u will love itBattery:sooo gooodsound:decentface lock:best everfingerprint:not good(in my device),5
71,Kadak ek no.,Mast ekdum sexy phone,5
72,Lives upto the tagline,Real flagship killer 👏🏾,4
73,This is Yum,"Well there nothing you won't like about the phone. Maybe the only fact that it doesn't have a headphone jack. But ppl we need to move the newer gen of wireless. Face recognition is too fast. Battery is pretty good amount. I would tell the reader. Don't hesitate you will have done a good choice by investing in this phone. Buyers, happiness starts for you.",5
74,Worthy,"It heats up once I plug- in to charger. If that happens with any of you, please get the battery replaced asap else the phone performance will degrade",3
75,Super phone,It's very nice.,5
76,Value for money,Everything is perfect,5
77,Smooth and speedy,Best phone at reasonable price,5
78,Oneplus rockz,The product is brilliant,5
79,One plus is the new giant,Still one the best in market. Superfast phone and as smooth as silk.,5
80,look,good,5
81,Definitely a Must buy,Great product.Worth for the investment.Never settle,5
82,Increase battery life,Battery discharges fast,5
83,Good,Good,5
84,Super power,Beast phone,5
85,Worth the money spent,"Love the phone , fast face recognition and good battery life but only thing earphones are not included.",5
86,Damaged Product,Screen flickering issue faced within 3 days of useMicrophone problem,1
87,Wow,Just a g8 product,5
88,Best phone ever,I really like the speed and faceunlockSuper smooth touch really like it,5
89,ok,Superb,5
90,Nice phone,Nice performance,4
91,Fingerprint reader option is pathetic in one plus,Fingerprint reader didn't work properly for me,4
92,Extremly Good,Best Phone for Android lovers and others too. Great Built in quality and no question of Hanging.,5
93,4.5 out of 5,"It's a awesome device in this range SD845 and 8 GB ram provides awesome performance. Face unlock is unbelievable within in second to unlock the device about fingerprint it's also work fine,Pubg is run like butter smooth ......camera is also good. Go with this premium device.",4
94,4 and half* overall,stars shows performance level..😑🖐️,4
95,worst phone,after 15 day of use earpiece is not working,1
96,Waste,Very bad,1
97,Nice phone with cool features,Fingerprint sensor needs improvement.,4
98,👌,The speed you need,5
99,Good Product,Excillent Product,5
100,One Plus 6T,Not much difference when compared to one plus 6. Not so trendy with looks. I feel the same old one plus 1 in my hand,4
101,Very good,Awesome,5
102,Phone is fantastic!!,Finger printer is slow,5
103,It's a OnePlus 6T,No need to say much. Just buy it. Smooth as butter. Just use it out of the box without using any OTA updates. OTA updates slows the phone.,5
104,Unbeatable,Awsum,4
105,Good not great,I m not very much impressed with the purchase. Expected better camera quality. Good not great purchase. Could have been better in terms of camera and battery both,4
106,OnePlus osm,Simply super,5
107,Camera position,I hate camera position,5
108,Brilliant phone for brilliant price,Amazing buy with unbelievable discount.Phone is a delight to use. Fingerprint reader works like a charm and cameras are out of this world.Best phone I've used so far.,5
109,Great product,Excellent experience till now,5
110,The Peice was not Damaged,It was wrapped up correctly as it was a gift to someone .. was more concerned about this .. And the Phone is working fine and the specifications mentioned in the display were same on the product we received say 8GB etc. ..,4
111,Good,Nice,5
112,OnePlus 6T,A medium range luxury type smart phone . Love 1+6T . Awesome mobile .,5
113,Faulty product,Non of the apps are getting downloaded...system update took 12 hours..the device is getting extremely heated while charging...need an immediate replacement.. this is not the quality we accept..is Amazon selling faulty products,1
114,Overall Good Product but FingerPrint is very slow and does not recognize sometimes,Overall Good Product but FingerPrint is very slow and does not recognize sometimes,4
115,phone,its not been a month their a breakage on my phone screen i want a replacement. that little breakage was already their what should i do next my new phone looks the worst one. i need a replacement for it,4
116,Amazing product,Amazing Product...,5
117,product quality is good,good,5
118,Great value of money.,Balanced and powerful phone.,5
119,Technical Issue,Camera: it's been 4 months I'm using this product and camera is not as expected. Blur images when u compared to other one plus 6t phone. product issueFace recognition: it falied .it gets unlocked for 2 similar personsSecurity: Sometimes it won't gets locked...anyone can easily unlock the phone using swipe option,3
120,Charging problem,It's only been 6month and I don't know if there is problem this phone or charger but phone is not charging fast and I am unhappy with this...I want replacement of phone or charger,4
121,I am not recommended to buy this phone for 38000 Ra camera also not good.,"I am using from last 6 months, I was brought 38000 Rs for this cost I don't think it is worthble.Performance is good but camera is very bad. Thing is wan taking pic very bad experience in this. And also some times hanging and battery life is ok.People will say one plus is for camera but it's not good. For me it's money loss.",1
122,Horrid camera,The camera on this one is worse than a 19K vivo phone. Very disappointing. Was expecting much better from a 37K phone.,2
123,OP6T The Best Falgship,I am highly sattisfied with OP6T,5
124,AWESOME AS EXPECTED,Finger Print Recognition is bit slow Except that everything is AWESOME,5
125,Excellent Smart phone,Simply Mind Blowing and awesome,5
126,Don't buy now,1 front camera is very bad Poco is better i think2 battery is getting only 7 hours continuous use  Huawei p20 is better3 fingerprint scanner worst Samsung is better4 main issue I purchase this phone for fast phone is very fast I am using this phone for my business when I try to call someone sometimes it will disconnect automatically within one second I restarted my phone the problem is solved but my time is wasting so so don't buy this phone in this place I think Huawei p30 is better than this one,1
127,Good phone and will buy second time...one plus 7 pro,"good experience with this phone ...good battery life , in display finger print scanner seen first time but little bit slow, performance is ultimate... never seen lag and camera is also good but i want more.....",5
128,Worst Nightmare Ever with OnePlus,This is so redeculus one plus 6t I got is quiet like some faulty showing yellow tint whole day on low brightness and camera pictures are not good at all quet like talking vga pics or 5mp pics from your camera after zoom pixel are spread out,1
129,Class of OnePlus,Class,5
130,Some things you should know,"Oh! the camera is totally awesome in night mode. Good thing is : Totally loved the camera. Operating speed is very good. Face recognition is too good. Screen resolution awesome and super smooth. Glass back looks cool. Dash charger ❤️.Bad thing is : Although the optical fingerprint sensor is a bit slow but that's okay. Although it is password protected, the Lockbox for personal storage should have been hidden, we can clearly see it in file manager.",5
131,The best I had till date,Forget about negative reviews go for this one best in class,5
132,Worth to buy,Very easy to handle. Remarkable speed.,5
133,Good phone,Good phone received without any complain,5
134,Good product,Worth every penny. Beautiful phone. Been using it from past 3 months and it’s working perfect,5
135,Poor fingerprint reading,Fingerprint sensor very poor,5
136,Ok,Very nice product,4
137,Awesome,Awesome,5
138,High speed mobile,Very good product,5
139,Awesome phone,Everything about the product is just great !!!! Love it !!!,5
140,Total paisa wasool,Best products,1
141,Very Nice Phone,I am so happy to be the part of One Plus Team,5
142,Faulty phone received..,"Charging socket not working, vibration not working",1
143,Truly unlock the speed,"Had been using I phone 6 plus before this,I can truly  see the difference. Its a very good phone . Getting the 8 GB version at 33000 was best deal.",5
144,Flagship killer,It's really a damn awesome flagship killer and very thing is well set. Unlock the speed,5
145,Don't think too much go for it,"Awesome phone without any issue , just need to work on fingerprint reader for better quality",5
146,Top Quality,"I want to start of by praising Amazon's delivery for this product. I recieved the order barely 24 hours after I placed it. The delivery associate was well behaved and completed my exchange purchase smoothly.First of all, I would like to say I think I got this at the lowest price possible, around 30,000.For the price I paid and the features this one has I am completely satisfied with what I have purchased.The camera is good, the speakers on the phone are loud, the screen is full HD and the finger print scanner which is embedded in the screen is beautiful.The really aren't any visible cons with the device already having come out of the beta and early testing phase.One of my best purchases.",5
147,Unlock the speed,Much faster😍,5
148,go for it.,"proper grip, awesome camera, great quality, better than iphone x atleast,if not xs max.easy to operate and totally justifies the price.",5
149,Black mirror review,Perfect phone.,5
150,Good but can be improved,Both the finger print reader and the face recognition are fast but battery life is not up to the mark . It hardly lasts  6 hrs . But except the battery life the overall performance of the phone is really a like a flagship killer.,4
151,Very good phone,Value for money and excellent smart phone with latest specifications,5
152,One plus is amazing,10-Oct,5
153,Awesome.....,Worth buying it....,5
154,Nice,Nice,5
155,I don't like the camera,Overall it's a good phone but personally I don't like the camera and finger print senser,3
156,FINGERPRINT READER IS SUPER SLOW🙄,"Phone is awesome speedwise, but need lots of improvement in ""fingerprint reader"" & front camera..FINGERPRINT READER IS SUPER SLOW...",3
157,Great product,"There are no words for this product, got this for 30500",5
158,Fast delivery super and fantastic perfomance,Camera,5
159,Best mobile at this moment...,Warp charge is the new technology in this tech world. Really like this product. A huge fan of #oneplus...,5
160,Vera level,Super phone .Vera level,5
161,Never settle,Very happy with the product,5
162,Best phone,Best phone,5
163,about the finger print reader.....,"recording the finger print data in a closed dark room, response will be better.",4
164,Summer sale alert,Fingerprint sucksBeware of summer sale my earpiece holes are partially closedMobile boxe have crushed edgesGenuine review,3
165,Good,Very good product,5
166,Nice phone with all feature..,"Best feature phone in budget I have got 8/128 in just 31500 during summer deal , very happy and satisfied with the product..",5
167,Regret the purchase,The mobile camera is really bad as the picture blurry when expanded or click after zoom. The camera quality is poorest of all one plus phone that I have used so far,3
168,Nothing,Nothing,4
169,Simply superb...,Nice mobile...,4
170,Excellent,Superb phone,5
171,Amazing phone,Amazing phone on time delivery,5
172,waste of money.,Please do not buy this phone ...total waste of money....fingerprint work very slow ....many times does not match error you will get...camera is also worst.phone also heat lot......buyers this is humble request to you all pls do not buy one plus phones.,1
173,Good,Good,5
174,Superb,Salute the speed,5
175,The Beast of All Phones,"OnePlus 6t is truly amazing excellent features,snapdragon 845 is way too fast! for playing games like PUBGcamera is excellent 4k 60fps recordings is so smooth best battery backup screen ratio is excellent for gaming",5
176,Very good performance.,"Display quality is good. It is fast. Camera and battery is good. Around 1.5 days battery backup. Comes with c type Jack which can be used for head phone as well as charging. To connect headphones, seller provide a connector. Phone cover is also provided which help it avoid damage. I have one dropped the phone but it was saved due to the cover provided with it.Often it's torch starts automatically. There may be some motion recognition features which I am not able to sort out. No other issue so far.Overall quality is good.",5
177,Used phone sent to me,Fingerprint reader doesn't work a number of times . Battery is worse than 5000 RS phone 1 year uesed phone,1
178,Worth buying !!,Best phone,5
179,Very good,Very good mobile looking great,5
180,Fingerprint reader was not as expected.,"Fingerprint reader was not as expected, it takes 2-3  attempts most of the time.  Rest all is good.",3
181,6T Quality,Amazing phone,5
182,Slightly Disappointed,"A few items like SIM card ejector and Transculent Screen protector were missing. These items are a part of the deliverables.The installation was a breeze. The transfer of data from the previous phone was also very smooth, though I have not checked if it was a 100%.Much has been spoken about the phone in this forum. There is nothing new to report.",3
183,Needs to improve my battery is life,Batteru is not good..,5
184,Worst product,"Received fault unit, fully disappointed with amazon",1
185,Good,Good,5
186,Awesome Phone from Oneplus and Fast delivery by Seller & Amazon!!!,"I have OnePlus 1 and 3, bought 6t model without any doubt on OnePlus as I want to upgrade my OnePlus 3.. Got this phone in 31K which is awesome, indisplay fingerprint sensor works great..  Thanks to seller Rocket kommerce, I got this phone within 12 hour of order..",5
187,No Comparison,"One of the Best Smartphone in Market.i Love the OnePlus Phone.Camera Quality,Battery Life,Simple UI All is great.",5
188,👍🏻👍🏻,One of best i ever used,5
189,Please don't buy this phone...!!!,I switched from OnePlus 5 to OnePlus 6t and I regret my decision. The fingerprint is slow and dumb. The face recognition is not so fast either.The display sometimes goes off but the touch still remains working. So I get calls that I'm unaware off. Being the flagship device with SD 845 it hangs..!! That too with 80% free disk space and not more than 5-7 apps working in the background.,2
190,One of the best,I've been using it for past 6 months and it is the best out there in this range,5
191,One plus 6t,Superbbbbbbbb foneeee❤,5
192,Good,Nice phone,5
193,Great phone without earphone jack,Terrific phone and only quibble is the earphone not there. Also backside fingerprint reader is more comfortable.  Face recognization is magical.,4
194,OnePlus fans go for it,Am writing this review after 5 months of usage...... simply we can say 'speed just we need'..... doesn't hang in any manner......the pubg game is just awesome.....we can view games in complete hd....,5
195,Mind blown best phone ever,Grab it now limited time offer loved the phone,5
196,hyhhh,hfhgfyhjg,5
197,Go for it..,Awesome phone. It got delivered just after 10 hrs of ordering it.Packing intact.,4
198,one plus 6T just Amazing,"after using just 20 days, I just loved the features of One Plus 6T.Display of this mobile is just amazing.Charging is amazingly fast. Battery life is working long lasting.Face unlock is very fast. Finger print on display sometimes work slowly.camera quality is just superb.Gaming Experience is awesome.Overall Mobile is full package of Entertainment. value for Money.",5
199,Dust is being entered into the front camera!,"One issue i got that it got some dust particles into the front camera within 10 days of use, what to plz help me.",3
200,Awesome,Awesome,5
201,",",Very Nice Phone,5
202,Super duper,Super duper...Smooth and class....,5
203,One plus 6t 8gb ram finally. Switched from iPhone 7,"The first impressions - One plus 6t(8gb ram and 128 GB storage).Initially thought to get One plus 7 and let me wait for May 14 launch. I was using Apple iPhone 7 from last 3 years and still there were no lags.But due to no customisations and speaker problems, wanted to get something good.Heard about Amazon sale and didn't thought twice to get this beast at 31499 including SBI discount.Well the battery, screen, lots of geetures and finally the absolute catchy screen takes eye out of mouth.One plus 7 could have been good but will surely come at an extra 10k mark. So, I was happy with this.Transferring files from iPhone to One plus was quick due to One plus switch.Thanks to Amazon for delivering this in less than 24 hrs and in a much secure way as, they asked me the OTP to deliver the package and that was something new with Amazon. I am loving this.",5
204,Nice,Good,5
205,Awesome 😍😍... Phone should be like this.,Fingerprint reader is one of the fastest I have ever seen and face recognition as well.,5
206,Good,Good one but price is high when compared to other Chinese brands.,5
207,Ozm mbl  but my mobile missing plz give idea,Super,4
208,Everything you need except 3.5 mm jack,Amazing phoneFace unlock fingerprint sensor camera everything is awesome. Built good. Non- Availability of 3.5 mm jack has left bit uncomfortable but still loving the phone. Always a OnePlus fan.,5
209,AMAZON CHEATING ME,Amazon has sent me a faulty product and is just not replacing it. From day one the screen looses color and recieves it back automatically. But Avenue after multiple complaints. They don't care,1
210,Good upgrade,Overall very good phone,5
211,Awesome purchase.,Nothing,5
212,Extremely satisfied,"I have absolutely no idea as to why people are rating the camera negatively. Its amazing. The phone is stuffed with features more than you'd have expected or called for. Simply the best that one could ask for at this price.  Moreover, only one side of the speaker working is not a glitch, that is how it's programmed to be.",5
213,Help,All of a sudden the display video camera everything has become black and white.How to fix it??,1
214,Worst phone I had ever saw,"Mode from vibration to silent doesn't work,speed of the phone is not up to mark, I heard about one plus but overall it's a waste phone and waste of money.Such a fool IAM that I had purchased a scrap......even fingerprint sensor is so damn worst it takes several times and Soo much of time to unlock.pls don't go to this 6T. I think these phones are homemade. They don't have enough knowledge and takes reviews from customers to develope their next versions....",1
215,Amazing ... experience of Real speed Unlocking 💖,"Over all.. its a very Very nice product, camera is very nice. . and speed ..no one can other beat. In same price range . Am very happy to be a part of One+6T",5
216,Good product,Very well satisfied,5
217,good,fingerprint reader is very bad. not came to the expectation,3
218,OnePlus 6T is the One,One word 'Awesome'.If you want butter smooth experience in every aspect on your Phone just go for it.,5
219,Nise,"Fingerprint is good, battery life is good,face recognition is also good & handiling good product.",5
220,Worst camera quality for 38000RS,"Worst phone not worth money ,camera quality is very worst ,you will get better phone at this price 380000,go for other phones don't buy one plus brand phones.",1
221,Awesome phone,I have been using one plus 3T before and upgraded to 6T and this one as well didn't disappoint me till now... Great phone... Great battery...,5
222,It's absolutely value for money!!!,"My son was waiting for Poco F2. As 6T was available for 31.5 k, we decided to go for this one.Delivery was super fast. Unit was intact.And it's absolutely beast.",5
223,Good,Improve finger print...,5
224,My slider wobbles,I don't know if it's just with me or all slider wobbles,4
225,After sales suck.,The only problem with the phone I'm facing is that my back panel got cracked a bit... I've trying to reach service centers for about a month now here in Delhi. They don't seem to have the back panel. They wont order one for one person and they never keep one In stock.. The phone's performance is tremendous... The only issue is after sales service which I'm not impressed with At all. They won't even provide contacts of higher authorities to help me with my claim. I'm a member of one plus community since 2017. Never had such a disappointing experience before. So before you buy keep this in mind...they may not have the spare parts to help you out if you need it.,3
226,Nice products,As good as we thought,5
227,It's just a great phone!,Great battery life...google cam works great...good build..,5
228,oneplus is the best,"awesome one plus is the best  its better than i phone x, so cool. absolutely loved it. thanks oneplus for such a cool product",5
229,Nice,Ntg,5
230,Lit🔥,Amazing product 👌 loving it . It's been a 5 months I m using ... Stylish smartphone,5
231,Good,Very goof,5
232,Best phone in the market.,Writing this review after 4 months of use.The phone is super fast and handles all the task easily. Battery life is awesome and camera is the best in class.,5
233,Two weeks using the OnePlus 6T after switching from OnePlus 5.,"Upgraded to the One plus 6T (6GB/128GB) From my OnePlus 5. Here's my take:Coming from the OnePlus 5, which, for 3300 mAh has phenomenal battery life and screen on time, I had high expectations from the 3600 mAh unit on the 6T, the battery did bear pretty much anything that came it's way, and then some more. Will last you a full day with moderate usage with around 20% left in reserve.I'm really nit-picking here,you but the-display finger print scanner albeit being a novelty these days is not an ultrasonic unit on the 6T, but a tiny camera underneath the display that scans your print enhanced by a green flash Everytime you unlock your phone, therefore it's not as fast as the regular ultrasonic fingerprint scanner on my Old OnePlus 5, but that's not a drawback since Me, and all the prospective buyers will be using Face Unlock most of the time.Face unlock as usual, is blazingly fast, you just tap the unlock button and the phone will open instantly, (if pointed at your face) you won't even know there's a lock. It can read your face from a decent range as well.Camera quality is good enough, it takes awesome close up shots and portraits. Also the landscape shots are just amazing, no complains there. Haven't tried the night mode yet, will update as soon as I do.Overall this phone is a complete package deal, premium build quality, glass back, slight water resistance, and the display, the optic AMOLED FHD+ never disappoints, whether you're outdoors or indoors, in shade or sunlight, it always has optimum brightness and great viewing angles.The processor as we all know the Snapdragon 845 to be, is very powerful indeed, will render any game today and about two years from now in high details. No problem in gaming at all, no lag, and surprisingly no heating issues either. The 20W Dash Charger does a fantastic job at keeping the 6T topped up and ready for use, I get a full 0-100 in about an hour and 10 minutes.Rest assured, this handset will not disappoint you if you're looking for a flagship under 35k. Go for it!",4
234,Truly smart..,Flagship killer..❤️,5
235,As expected,Awesome,5
236,Worth for your money,Overall phone is so awesome.,5
237,Good,Good,5
238,Poor battery life which is unexpected from One Plus,"Bought this phone today, when the phone was put on charge, the battery started to reduce. After two or three tries, the phone finally started to charge but as claimed, it wasn't a rapid charging. I've been using one plus since 4-5 years, I haven't seen this before. Will be returning this product.",5
239,Please don't buy One Plus 6T,"With So much of Expectation Bought 1+6T .But Disappointedwith 15 Days of Experience. I will not Recommend this Product to my ColleaguesPls don't Opt for One Plus 6T""Error - can't Hold Calls"" - This Error Occurs when you call othersVery poor response from Customer Care",1
240,Very fast delivery with prime membership,At best ever price,5
241,Not bad,Camera,3
242,Great,Its very speedy mobile and very good mobile in this price,5
243,Jumbo phone,Ultimate,5
244,Not bad,Mobile heatCam clarity averageCharging back up s not there,1
245,Heating while charging,"Product is good nice look, beautiful design but the Device is heating up while charging battery life is also not as expected",3
246,Happy,I brought this on 15 April for 37999/- every things going good but I'm facing little trouble on finger print.I brought 8+128gb combination but not as fast as I expected when compared to my Bros one plus 6t(6+128). I felt almost same. This is third week with my mobile I'll edit my review again if everything goes well.But u can happily go for this product and now the price is too low,5
247,Nice One plus team,Good product,5
248,Value for money,Best smart phone till date...value for money,5
249,Cost,"I am happy with the product. But when I checked the cost of the same phone the next day it was reduced almost 5k , which kinda bugged me.",5
250,Awesome,This handset has made my life awesome. It contains every feature i wanted for. Eagerly waiting for the next model.,5
251,Brilliant Phone,Everything about it is amazing. The only caveat being the not-so-accurate finger sensor inside the screen but that works well too. Worth the amount of money you're spending on it,5
252,Nice phone one plus 6t,Nice phone,4
253,Not worth for money,I bought it for 41999 from reliance storePros performance about Android version and hardware is awesomeCons-Camera quality is very low iphone 6 better than OnePlus 6t.Screen guard is not available in local market you have to order online and its not sure that it feet perfectly bcoz i have not got cut to cut dispay screen protector glass,3
254,Great phone but finger reader is slow.,Finger print reader,5
255,Average phone in One plus series,"1. Best thing about this phone is it's processor. Never hangs or irritates while opening, working and closing the apps.2. The screen resolution is good.3. Notch display is something new.  Nothing great about it but the screen utilization is good.Now the irritating facts:1. The finger print scanner is bad. It often needs more then one attempts to unlock the phone. I previously used One plus Two and it was awesome in this aspect even after 3 years.2. The placement of power button and the volume buttons is not good. They are placed on opposite sides and exactly at same position from top. Many time when I pressed power button with an imtention to off the screen, the volume down button on the opposite side also gets pressed accidentally and it takes the screenshot.3. Phone is a bit heavy.4. The battery lasts for more than a day for me, but that is not enough to impress for this price. Down the time after an year it will go down to less than a day.5. One plus does not have their own ancelaries and third party cases and screen guards are not reliable.6. The camera is just average. The quality is not even close to 4 year old Apple 6 plus phone.",3
256,Battery,Batter life very low.,4
257,Not Satisfied,"I was using oneplus 3 and now I purchased one plus 6T, but I am not satisfied with the product compared to oneplus 3 also though 6T has lots of extra features.Fingerprint sensor is not working correctly all the time.Battery life is also not good.Even mobile is also working slow and hangs sometime though I purchased just before 10 days.If company tells me to return the same and refund the amount, I will do that also.",1
258,Superb!!!,"The product is great, has good battery life, storage, is fast, camera is awesome, fingerprint reader is also good..overall happy with the product :)",5
259,Overall good performance But..,Performance Is good but not at Price range of 42k.Now it is of 32 so Now Thumb's up mad Go for it.,4
260,Heating when charging and net usage,Heating issue,1
261,Slim and Perfect Mobile,Good for use,5
262,Proud to be in oneplus family.,Expect portrait mode no features can beat this super machine.,5
263,Bad camera quality,I do not like its camera quality. Its worst.,3
264,Great buy,Absolute value for money,5
265,Go for 7 instead of this,Real flagship killerExcluding finger print sensor,5
266,Greatest phone,Best phone till date,5
267,Best Buy,It is awesome and smooth..camera and battery life is really heart winning..,5
268,Oneplus6t great built quality,"One plus 6t this best phone I ever used , tdy happened incident my felldown from my pocket on road side a bike moved on phone , I used kapaver guard it's cost 699rs , I used 6d glass and it crackes but doesn't damaged , one plus 6t heavy price they built with good and strong , I suggest you if anybody wanna buy this phone it's paise vasoool guys",5
